,previous_sim,optim_sim,enhance_rate:%,len_d,attribute,len_Cx,len_C
0,0.17329910141206675,0.11794057609435246,147.0,10,"[3.0, 6.0, 7.0, 8.0]",61,71
1,0.16515426497277677,0.11567495559502665,143.0,0,"[3.0, 4.0, 5.0, 6.0]",6,17
2,0.15821812596006143,0.116580890579548,136.0,0,"[2.0, 4.0, 5.0, 6.0]",12,31
3,0.15795287187039764,0.11665920286609942,135.0,3,"[4.0, 5.0, 6.0, 8.0]",15,25
4,0.15500863557858377,0.11606148362664291,134.0,1,"[3.0, 4.0, 5.0, 8.0]",12,17
5,0.18736501079913606,0.1406672678088368,133.0,16,"[2.0, 3.0, 7.0, 8.0]",81,93
6,0.15422535211267605,0.11678995740865276,132.0,4,"[2.0, 5.0, 6.0, 8.0]",27,38
7,0.15452305526223162,0.11819419237749547,131.0,0,"[1.0, 4.0, 5.0, 6.0]",16,29
8,0.152753108348135,0.11763377737638293,130.0,0,"[1.0, 3.0, 5.0, 6.0]",14,23
9,0.15887207702888584,0.1234889784309078,129.0,11,"[3.0, 4.0, 5.0, 6.0, 7.0]",56,64
10,0.1581940988268752,0.12316784869976359,128.0,1,"[0.0, 3.0, 5.0, 6.0]",29,48
11,0.15153560580492745,0.11924925612268254,127.0,1,"[0.0, 1.0, 3.0, 6.0]",49,63
12,0.1586971586971587,0.12575428433502292,126.0,3,"[0.0, 2.0, 3.0, 6.0]",50,66
13,0.1475054229934924,0.11838218586684844,125.0,1,"[1.0, 2.0, 5.0, 6.0]",28,39
14,0.1488226059654631,0.12015682656826568,124.0,1,"[0.0, 3.0, 4.0, 6.0]",41,57
15,0.1568241469816273,0.12707317073170732,123.0,3,"[0.0, 1.0, 5.0, 6.0]",70,91
16,0.14225181598062955,0.11650268336314848,122.0,1,"[1.0, 2.0, 3.0, 6.0]",24,31
17,0.15450780503345013,0.12788414334806086,121.0,6,"[0.0, 1.0, 2.0, 6.0]",98,115
18,0.1447534766118837,0.12090972383383616,120.0,6,"[0.0, 1.0, 2.0, 3.0]",72,85
19,0.16482582837723025,0.1380186282811177,119.0,21,"[0.0, 2.0, 5.0, 8.0]",69,80
20,0.14784523435042465,0.12569360675512667,118.0,5,"[0.0, 1.0, 2.0, 5.0]",86,102
21,0.13826650943396226,0.118140589569161,117.0,1,"[0.0, 1.0, 3.0, 5.0]",46,58
22,0.17531305903398928,0.1515051273569302,115.99999999999999,15,"[0.0, 1.0, 5.0, 8.0]",71,86
23,0.16396761133603238,0.14290104486785496,114.99999999999999,13,"[0.0, 1.0, 3.0, 8.0]",71,78
24,0.13540740740740742,0.11873290793072015,113.99999999999999,1,"[0.0, 3.0, 4.0, 5.0]",27,40
25,0.1366576819407008,0.12085363024820227,112.99999999999999,0,"[0.0, 1.0, 4.0, 6.0]",90,98
26,0.13157894736842105,0.11766034327009937,112.00000000000001,1,"[0.0, 1.0, 3.0, 4.0]",62,66
27,0.14035087719298245,0.12602805999032415,111.00000000000001,6,"[0.0, 1.0, 2.0, 4.0]",109,117
28,0.1514958625079567,0.13731825525040386,110.00000000000001,22,"[0.0, 2.0, 3.0, 7.0]",160,172
29,0.24370277078085642,0.22406417112299465,109.00000000000001,51,"[0.0, 1.0, 6.0, 7.0]",151,161
30,0.14318311466058187,0.13307593307593307,108.0,10,"[0.0, 1.0, 2.0, 3.0, 4.0]",111,119
31,0.17184503260452627,0.16004043126684636,107.0,30,"[0.0, 1.0, 3.0, 7.0]",156,165
32,0.12331453787693063,0.1164506034868127,106.0,1,"[1.0, 2.0, 3.0, 5.0]",18,22
33,0.19459729864932465,0.18525179856115107,105.0,32,"[0.0, 1.0, 2.0, 8.0]",104,114
34,0.1799844840961986,0.17318840579710146,104.0,30,"[0.0, 1.0, 5.0, 7.0]",177,181
35,0.23002421307506055,0.2224731789949181,103.0,50,"[0.0, 1.0, 4.0, 7.0]",161,165
36,0.2825024437927664,0.277516462841016,102.0,55,"[0.0, 3.0, 7.0, 8.0]",111,113
37,0.26625386996904027,0.2623318385650224,101.0,71,"[0.0, 1.0, 2.0, 7.0]",152,155
38,0.8925619834710744,0.8884940026654821,100.0,50,"[0.0, 2.0, 3.0, 8.0]",77,79
