,optim_,prev,enhance_rate:%,len_d,attribute,len_Cx,len_C
0,0.45161290322580644,0.09484536082474226,476.0,0,"[6.0, 7.0, 11.0]",1,2
1,0.29918032786885246,0.06431718061674009,465.00000000000006,0,"[1.0, 6.0, 12.0]",1,3
2,0.45161290322580644,0.09725158562367865,463.99999999999994,0,"[6.0, 8.0, 11.0]",1,2
3,0.45161290322580644,0.09787234042553192,461.00000000000006,0,"[7.0, 11.0, 18.0]",1,2
4,0.2979591836734694,0.06594399277326106,451.99999999999994,0,"[1.0, 7.0, 8.0]",1,3
5,0.45161290322580644,0.10043668122270742,450.0,0,"[8.0, 11.0, 18.0]",1,2
6,0.46715328467153283,0.1067251461988304,438.0,0,"[4.0, 11.0, 19.0]",1,2
7,0.46715328467153283,0.11094224924012158,421.0,0,"[4.0, 7.0, 11.0]",1,2
8,0.25806451612903225,0.06318681318681318,408.0,0,"[0.0, 5.0, 16.0]",1,3
9,0.25806451612903225,0.06397774687065369,403.0,0,"[5.0, 6.0, 16.0]",1,3
10,0.25806451612903225,0.06534090909090909,395.0,0,"[0.0, 5.0, 6.0]",1,3
11,0.5211267605633803,0.1329479768786127,392.0,0,"[11.0, 12.0, 19.0]",2,3
12,0.46715328467153283,0.12331081081081081,379.0,0,"[5.0, 11.0, 19.0]",2,3
13,0.4383561643835616,0.11605723370429252,378.0,0,"[2.0, 7.0, 11.0]",2,4
14,0.352112676056338,0.09349593495934959,377.0,0,"[5.0, 16.0, 21.0]",3,6
15,0.25806451612903225,0.0688622754491018,375.0,0,"[5.0, 16.0, 18.0]",1,3
16,0.2976190476190476,0.08,372.0,0,"[4.0, 8.0, 12.0]",2,4
17,0.25806451612903225,0.06948640483383686,371.0,0,"[0.0, 5.0, 18.0]",1,3
18,0.25806451612903225,0.06980273141122914,370.0,0,"[4.0, 7.0, 8.0]",1,3
19,0.46715328467153283,0.1267361111111111,369.0,0,"[7.0, 11.0, 21.0]",2,3
20,0.352112676056338,0.09603340292275574,367.0,0,"[0.0, 5.0, 21.0]",3,6
21,0.352112676056338,0.09643605870020965,365.0,0,"[5.0, 18.0, 21.0]",3,6
22,0.5211267605633803,0.14330218068535824,364.0,0,"[7.0, 11.0, 12.0]",2,3
23,0.25806451612903225,0.07142857142857142,361.0,0,"[5.0, 6.0, 18.0]",1,3
24,0.33181818181818185,0.0922882427307206,360.0,0,"[1.0, 4.0, 12.0]",1,3
25,0.352112676056338,0.09808102345415778,359.0,0,"[5.0, 12.0, 16.0]",2,4
26,0.3783783783783784,0.10574712643678161,358.0,0,"[7.0, 8.0, 19.0]",1,2
27,0.3425925925925926,0.09663865546218488,355.0,0,"[8.0, 12.0, 19.0]",2,3
28,0.352112676056338,0.09935205183585313,354.0,0,"[5.0, 13.0, 16.0]",2,4
29,0.2976190476190476,0.08440366972477065,353.0,0,"[4.0, 8.0, 13.0]",2,4
30,0.2664233576642336,0.07572614107883817,352.0,0,"[0.0, 1.0, 17.0]",2,4
31,0.352112676056338,0.10021786492374728,351.0,0,"[0.0, 5.0, 12.0]",2,4
32,0.26545454545454544,0.07576543850544888,350.0,0,"[0.0, 1.0, 6.0]",2,4
33,0.3783783783783784,0.10849056603773585,349.0,0,"[0.0, 3.0, 5.0]",4,7
34,0.352112676056338,0.10154525386313466,347.0,0,"[0.0, 5.0, 13.0]",2,4
35,0.425,0.12365591397849462,344.0,0,"[5.0, 16.0, 19.0]",2,3
36,0.45161290322580644,0.13218390804597702,342.0,0,"[6.0, 11.0, 19.0]",1,2
37,0.352112676056338,0.10337078651685393,341.0,0,"[5.0, 6.0, 12.0]",2,4
38,0.25806451612903225,0.07628524046434494,338.0,0,"[5.0, 7.0, 16.0]",1,3
39,0.22666666666666666,0.06725146198830409,337.0,0,"[0.0, 16.0, 21.0]",1,4
40,0.352112676056338,0.10478359908883828,336.0,0,"[5.0, 6.0, 13.0]",2,4
41,0.425,0.1270718232044199,334.0,0,"[0.0, 5.0, 19.0]",2,3
